CompanyName,JobRole,Experience,Skills,Industry
Hbic Solutions,Data Scientist,0-2 Yrs,"deep learning, data science, Artificial Intelligence, Data collection, Packaging, Data analytics, Python, Testing","I do not have access to real-time information, including company databases.  Therefore, I cannot tell you the industry of ""Hbic Solutions"". 

To find this information, you could try:

* **Searching online:** Use search engines like Google to look up ""Hbic Solutions"" and see if their website or any related information reveals their industry.
* **Checking business directories:** Websites like LinkedIn, Crunchbase, or similar business directories may have information about the company and its industry.
* **Contacting the company directly:** You can reach out to Hbic Solutions through their website or other contact information to inquire about their industry."
ANZ,Data Scientist,7-9 Yrs,"Data management, data science, Analytical, Banking, Manager Technology, Data quality, Data analytics, Financial services",Financial Services
Neostats Analytics Solutions,Data Scientist,3-8 Yrs,"Computer science, Data analysis, SAS, data science, MIS, Analytical, Data analytics, Information technology",Analytics
Digital Dogs Content And Media,Data Scientist,2-7 Yrs,"algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning",Media and Content.
Agilisium,AI / ML Engineer / Data scientist,3-5 Yrs,"Artificial Intelligence, Kubeflow, Tensorflow, Data Science, Statistical Modeling, MLFlow, Data Mining, Keras",Technology
Sroniyan,Data Scientist,5-10 Yrs,"algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning","I do not have access to real-time information, including company databases. Therefore, I cannot provide information about the industry of a company called ""Sroniyan."""
Diverse Lynx,Data Scientist,2-7 Yrs,"data science, Data Scientist, Data analytics, Data, Science, Analytics","It's impossible to determine the industry of a company named ""Diverse Lynx"" without more information."
Axis My India,Data Scientist / Visualizer,4-5 Yrs,"tableau, data science, Data analytics, data visualization, Research, Business intelligence, Advertising, Forecasting",Market Research
Pragya Health Technologies,Data Scientist,2-6 Yrs,"algorithms, python, modeling, data analysis, data analytics, natural language processing, predictive, machine learning",Healthcare
Hanker Systems (india),Data Scientist,8-12 Yrs,"PySpark, Statistics, Pytorch, Python, Flask, random forest, Machine Learning, neo4j",IT
IBM,Data Scientist: AI/ML Engineer,3-8 Yrs,"docker, multithreading, podman, python, data analytics, kubernetes, openshift, redhat linux",Technology
IBM,Data Scientist: AI/ML Engineer,5-10 Yrs,"multithreading, rest, python, data analytics, asynchronous apex, kubernetes, openshift, redhat linux",Technology
Xpheno,Data Scientist,3-7 Yrs,"Training, deep learning, data science, Networking, GCP, big data analytics, Machine learning, cloud storage",Human Resources (HR) Tech
Seligo Consultants,Data Scientist,10-20 Yrs,"Predictive Modeling, Data Analysis, Statistical Modeling, Machine Learning, Python, Time Series Analysis, Natural Language Processing, Data Mining",Consulting
Spocto Solutions,Data Scientist,2-5 Yrs,"Text mining, Product management, big data analytics, Artificial Intelligence, collections process, Machine learning, Customer experience, SQL",Technology
Chryselys,Data Engineer/ Data Analyst,2-7 Yrs,"Data Engineering, sql, pharma, Payer, python, Claims, CRM data, pyspark","There is no known company called ""Chryselys""."
Iris Solutions,Data Scientist,3-8 Yrs,"Computer vision, Health insurance, deep learning, data science, devops, Machine learning, Shell scripting, big data","It's impossible to determine the industry of ""Iris Solutions"" without more information. ""Iris"" is a very common word and could be used in countless industries."
Naviga Global,Data Scientist,3-7 Yrs,"Operations research, Prototype, Coding, Machine learning, Data analytics, Data mining, SQL, Python",Recruitment
Preceptors IT and Business Solutions,Data Scientist,3-6 Yrs,"algorithms, python, project management, modeling, data analysis, data analytics, preventive maintenance, business solutions",IT and Business Solutions
Saarthee,Data Scientist,1-6 Yrs,"Health insurance, Operations research, Analytical, Machine learning, Data analytics, Data mining, Business intelligence, Recruitment",Edtech
Pepsico,Deputy Director - Data Engineer,13-18 Yrs,"Python, azure databricks, data analytics, data science, scala, pyspark, machine learning, data engineering",Food and beverage
Pluto7,Data Scientist,2-5 Yrs,"exploration, data analytics, presentation skills, engineering, machine learning, data wrangling, artificial intelligence, communication skills",Technology
Bilby,Data Engineer,1-4 Yrs,"Computer science, Automation, data science, Data modeling, Analytical, Machine learning, Data analytics, Data warehousing",Telecommunications
Genpact,Gen AI Data Scientist - Pan India,6-11 Yrs,"Generative AI, GEN AI, Data Science, Predictive Modeling, Natural Language Processing, Neural Networks, Machine Learning, Deep Learning",IT
Expergo Technologies,Data Scientist,5-9 Yrs,"Data Science, Media Analytics, Behavioural Analysis, AI, Machine Learning, Recommender Systems, NLP, Ai Solutions",Energy
Buddy4study,Data Scientist,3-4 Yrs,"Data Cleansing, Data Extraction, Numpy, Data Science, Python, Data Validation, Power Bi, Data Mining",Education
Insurance Brok,Data Scientist,8-12 Yrs,"Data Science, Machine Learning, AWS, Python, Tensorflow, Natural Language Processing, Scikit-Learn, Machine",Insurance
Genpact,Data Scientist - All Genpact locations,6-11 Yrs,"Data Science, Predictive Modeling, GIT, Logistic Regression, Time Series Analysis, Customer Analytics, Statistical Modeling, Marketing Mix",IT
Globallogic,Data Analyst with Python,5-10 Yrs,"insurance, python, sql queries, modeling, data analysis, data analytics, bi, qlik",IT
Wipro,Data Engineer,1-5 Yrs,"team management, machine learning, data engineering, deep learning, cognitive, python, cnn, data analytics",Information Technology (IT)
Sopra Steria,Data Analyst,3-5 Yrs,"python, data analysis, data analytics, insights, data mining, predictive analytics, business analysis, power bi",Information Technology (IT)
Jobsmill,Data Science Engineer,5-10 Yrs,"Data Science, Data Analytics, Machine Learning, Science, Analytics, Machine, Data",Recruitment
Accenture,Business Analyst,5-10 Yrs,"business analysis, computer system validation, data visualization, statistics, data munging, advanced analytics, python, data analysis",Consulting.
Hexaconcepts,Data Scientist/Data Analyst - LLM,2-6 Yrs,"Computer science, Analytical skills, Data analysis, Artificial Intelligence, Consulting, Data Analyst, Silicon, Data analytics",IT
Michelin,Data Engineer,1-5 Yrs,"hive, data warehousing, dbms, business intelligence, iot, sql, data science, spark",Tire
Busigence Technologies,Data Engineer - Python,0-3 Yrs,"deep learning, Data analysis, data science, Machine learning, HTTP, Natural language processing, Data analytics, Business intelligence",Technology
Coders Brain Pvt Ltd,Data Engineer,5-12 Yrs,"data science, Deployment, Data analytics, Taxation, Analytics, Data, Data Engineering, Science",Information Technology (IT)
Global Pharma Tek,Data Analyst,3-5 Yrs,"data science, Focus, Consulting, IT infrastructure, Programming, Data Analyst, Data analytics, Weaving",Pharmaceutical
Global Pharma Tek,Data Analyst,5-7 Yrs,"data science, Focus, Consulting, IT infrastructure, Programming, Data Analyst, Data analytics, Weaving",Pharmaceutical
Sledding Technologies,Business Analyst,3-5 Yrs,"rpa, design documents, data analytics, business requirements, documentation, business analysis, artificial intelligence, process mapping",Recreation/Leisure
Busigence Technologies,Fresher - Data Science Engineer,0-2 Yrs,"Automation, data science, Machine learning, HTML, HTTP, Natural language processing, Data analytics, Business intelligence",Technology
STATS PERFORM,Data Science Quality Assessment Engineer,3-6 Yrs,"Computer vision, Construction, Web technologies, data science, Machine learning, Manager Technology, Wellness, Data analytics",Sports Data and Analytics
Xpheno,Data Analyst,2-5 Yrs,"Automation, data science, Life sciences, Data analytics, microsoft, Oracle, Operations, Bioinformatics",Human Resources (HR) Tech
Leading Client,Data Scientist,5-9 Yrs,"Data Science, risk assessment, Gen AI, R, data analysis, Python, Artificial Intelligence, Data","It's impossible to determine the industry of ""Leading Client"" without more information. This name is too generic and could apply to companies in any sector."
Biz Tech Consultants,Data Scientist,3-8 Yrs,"Data Science, Azure, Model Creation/ solution, Scikit-learn, NumPy, PyTorch, OpenCV, GCP",Consulting
Can be discussed,Urgent :: Data Scientist :: Hybrid role,2-7 Yrs,"python, Bigquery, looker studio, power bi, Google Cloud Services, Looker, Machine Learning, R Program","It's impossible to determine the industry of a company named ""Can be discussed"" without further information."
Creative Hr Solutions,Data Analyst _Goa_Fresher/Experienced,0-2 Yrs,"Data Analytics, Data Science, Data Analysis, Data, Science, Analytics, Analysis",Human Resources
Innovate Mr,Data Analyst,2-7 Yrs,"Data analysis, Costing, Data collection, Market research, content generation, Data analytics, Data Analyst, Quality tools","It's impossible to determine the industry of ""Innovate Mr"" without more information.  ""Innovate"" is a very general term."
Himalayan Sustainable Energy Solutions Private Lim Ited,Data Engineer/Carbon Credits Expert,3-8 Yrs,"Carbon Credits, MRV, Data system ownership, Big Data Analytics, Data Engineering, Cloud Platform, Data Security, Database system",Renewable Energy
A Client of SMC,Data Analyst,6-10 Yrs,"Evaluation, MS Office Powerpoint, Power Point Presentation, Powerpoint, Data Reporting, Data Extraction, Data Mining, Advanced Excel",N/A
Faptic Technology,Data Analyst,1-4 Yrs,"Data analysis, Excel, SAS, Analytical, Data collection, Data Analyst, Data analytics, SQL",N/A
Hiring for data analyst  with 6 to 8 years formumbai,Hiring For data analyst role  with 6 To 8 years of exp  For mumbai,6-8 Yrs,"oracle data, Data Analysis, Data Analytics, Hiring, Analysis, Exp, Data, Analytics","It's impossible to determine the industry of the company hiring for a data analyst with 6 to 8 years of experience in Mumbai with only that information. 

Data analysts are needed across a wide range of industries, including:

* **Technology**
* **Finance**
* **Marketing**
* **Healthcare**
* **Retail**
* **E-commerce**
* **Consulting**
* **Research** 

To find out the specific industry, you would need more information about the company or the job description."
Fortune Global 500 IT Services Firm,Data Scientist,5-10 Yrs,"Data Science, Machine Learning, Python, Predictive Modeling, Data Visualization, data scientist, Data Mining, Modeling",IT Services
Magneum Technology,Data Scientist,3-7 Yrs,"R, MySQL, Python, Data Science, Predictive Modeling, Pricing Analysis, Natural Language Processing, Pricing Analytics",Technology
Vinove Software,Data Scientist (AI+LLM+ML+Python),4-8 Yrs,"AI, LLM, Machine Learning, Python, Data Science, Natural Language Processing, Deep Learning, Science",Software Development
Zbiz Solutions,Data Analyst (Tamil/ English),0-3 Yrs,"excelgoogle apps script, data analytics, writingdata science, communication skills, statistics, Application, Scripting, Science",IT
Bluslash Consulting,Data Engineer (Position Closed),2-4 Yrs,"tableau, Machine learning, data governance, power bi, data integrity, Data analytics, Business intelligence, SQL",Consulting
Aakash Educational Services (AESL),Business Analyst,3-5 Yrs,"Business Analyst, Business Intelligence, Business Reporting, Business Analytics, Report, Data Analysis, Business Insights, Dashboarding",Education
Client of EDGE,Data Analyst - Qliksense,3-7 Yrs,"PLSQL, Qliksense, Business Intelligence, Power Bi, Data Analytics, Oracle, Google Cloud Platforms, SQL","It's impossible to determine the industry of ""Client of EDGE"" without further context. 

""EDGE"" could refer to many things, and the company's industry depends on what EDGE represents in this case."
Bilby,Data Engineer,1-4 Yrs,"data analytics, gcp, pythonsql, machine learningdata modeling, artificial intelligence, Modeling, Intelligence, Analytics",Telecommunications
Uk Based company,"Data Scientist, Machine Learning",5-9 Yrs,"Data scientist, GCP, Data science, Machine Learning, Python, Matplotlib, Pandas, Numbpy","It's impossible to determine the industry of a company based solely on the phrase ""UK Based Company"".  You need more information to understand the company's activities."
STONEX India,Data Analyst,2-6 Yrs,"Excel, Data Management, Data Analysis, Advanced Excel, Data Analytics, Management, Analytics, Analysis",Construction
Tetrahed Inc,Data Analyst - Looker,4-7 Yrs,"data visualization, BigQuery, Power BI, Data Analyst, Data Modeling, Data Warehousing, Data Analytics, Looker",Technology
Corelogic,Data Exposure Analyst,2-5 Yrs,"insurance, data analytics, data analysis, modeling, vba, data processing, property, sql",Real Estate
Corelogic,Data Exposure Analyst,2-5 Yrs,"insurance, data analytics, data analysis, modeling, vba, data processing, property, sql",Real Estate
Boston Consulting Group,"Data Analyst, Optimization, - X Delivery",2-4 Yrs,"Supply chain, Operations research, Production planning, Consulting, Management consulting, Resource allocation, Packaging, Data analytics",Management Consulting
Ipropal,Data Analyst,1-3 Yrs,"Data analysis, Artificial Intelligence, Machine learning, Mechanical, Data analytics, Data Analyst, Intelligence, Machine",Software
Niine,Data Engineer,1-5 Yrs,"Etl Development, Data Engineering, Power Bi, Data Extraction, Data Pipeline, MySQL, Snowflake, Data Architecture",Fashion.
Gedu Services Pvt. Ltd.,Data Analyst,3-6 Yrs,"Power Bi Reports, Data Analytics, Data Reporting, Business Intelligence, Data Analysis, SQL Database, Data Visualization, Dashboard Development","I do not have access to real-time information, including specific company data like industry classification.  To find out the industry of Gedu Services Pvt. Ltd., you'll need to research it using resources like:

* **Company website:** Check the ""About Us"" or ""Services"" sections.
* **Business directories:** Websites like ZoomInfo, Crunchbase, or LinkedIn may have information.
* **Government databases:** Check your country's business registration or company registry."
Peroptyx,Data Analyst(English Required),0-5 Yrs,"Data Analysis, English, Data Analytics, Data Mapping, Mapping, Analysis, Analytics, Data",Technology
Arabelle Solutions,Data analyst,6-11 Yrs,"data cleansing, Steam turbine, Data management, Analytical, Data quality, Data analytics, Operations, Analytics",IT
Bizcrum Infotech,Business Analyst - Dashboard Design,3-5 Yrs,"Dashboard Design, Business Analyst, MIS, Data Mining, Tableau, Data Modeling, Data Analytics, Design",Information Technology (IT)
Indifi Technologies,Business analyst,3-7 Yrs,"Advance excel, MIS reporting, data extraction, data analysis, data analytics, Data cleaning, dashboard reporting, data analyst",Fintech
Maruti Suzuki,business analyst-GLBS,2-6 Yrs,"Change management, Automation, Business Analyst, Manager Technology, Data analytics, Business process re-engineering, General management, Information technology",Automotive
Egon Zehnder,Data Analyst (VBA),1-5 Yrs,"Automation, power bi, Data Analyst, Data analytics, Data quality, Manager Quality Control, Business intelligence, Macros",Executive Search
Archipelago,Analyst,0-3 Yrs,"r, python, tableau, data analytics, application, vba, power bi, sql",Travel
Facts N Data,Data Analyst,3-6 Yrs,"metadata, python, data analysis, data management, data analytics, data validation, configuration, data mining",Data Analytics
Adidas,Data Analyst,3-6 Yrs,"Business administration, Data analysis, Data modeling, Analytical, Brand marketing, Data analytics, data visualization, Analytics",Apparel
Response Informatics,Data Analyst,5-10 Yrs,"Microstrategy, RDBMS, Data analytics, Data Analyst, data visualization, SQL, Analytics, Data",Healthcare
Apis India,Urgent Opening- EA & Business Analyst,10-20 Yrs,"Executive Assistant, Business Analyst, Business Analytics, Data Analysis, Data Analytics, EA, Business Analysis, Analytics",IT
Flash Aligners,Business Analyst,3-4 Yrs,"financial analysis, erp, data analysis, data analytics, presentation skills, business analysis, business analytics, analysis",Dental
Cafu,Data Analyst,1-3 Yrs,"Computer science, Excel, Analytical, Data analytics, Data Analyst, Business intelligence, Powerpoint, Predictive analytics",Food & Beverage
Magic Infomedia,Data Analyst,0-2 Yrs,"master data, metadata, python, data analysis, data management, data analytics, data validation, configuration",Marketing & Advertising
Inteligenai,Data Analyst,2-4 Yrs,"Computer science, Data modeling, MIS, Machine learning, Data analytics, Data Analyst, data visualization, Analytics",Artificial Intelligence (AI)
Saarthee,Analyst,0-3 Yrs,"Mining, Health insurance, Data analysis, HP data protector, Analytical, Consulting, Data analytics, Business strategy",Edtech
Dreamsplus Consulting,Data Science and Data Scientist Trainer,6-10 Yrs,"knowledge in python, Data Science, R, SQL, experience teaching, Python, Science, Training",Consulting
Transunion,Data Scientist,5-9 Yrs,"data science, GCP, Analytical, Machine learning, Data mining, Business solutions, Open source, Analytics",Financial services.
Elevate Global,Data Scientist,2-5 Yrs,"Mining, Excel, data science, Analytical, Consulting, Hypothesis Testing, Forecasting, SQL",N/A
Wcities,Data Scientist,2-4 Yrs,"Data Science, Data scientist, Ml, Data, Science",Real Estate
Acko,Data Scientist - 3,4-6 Yrs,"deep learning, data science, Analytical, Machine learning, Mathematics, Customer experience, Open source, SQL",Insurance
Ducker Worldwide Management Consulting,Data Scientist,2-5 Yrs,"Mining, Computer science, Excel, data science, Analytical, Consulting, Hypothesis Testing, Forecasting",Management Consulting
Aspire Softserv,Data Scientist,2-4 Yrs,"Data Science, Natural Language Processing, Neural Networks, Deep Learning, Process, Networking, Languages, Processing",Information Technology (IT)
Cotiviti,Data Scientist,2-5 Yrs,"Data Science, Machine Learning, Modeling, Predictive Modeling, python, Advanced Analytics, Pandas, Statistical Modeling",Healthcare.
InApp,Data Scientist,7-10 Yrs,"Gen AI, Machine Learning, Deep Learning, Data Science, Natural Language Processing, Machine, Process, Artificial Intelligence",Mobile App Development
IBM,Data Scientist,7-9 Yrs,"advance sql, customer analytics, python, presentation skills, marketing analytics, digital marketing, applied mathematics, mathematics",Technology
MResult Technologies Private Limited,Data Scientist,4-8 Yrs,"Data Science, Proficiency in R programming, Predictive Modeling, Natural Language Processing, Regression, Machine Learning, Python, Machine",Information Technology
MITS Solution,Data Scientist,7-12 Yrs,"Data Science, tensorflow, Github, Machine Learning, SQL, Flask, Science, Machine",IT (Information Technology)
Leading Bank in India,Data Scientist,2-5 Yrs,"Data Science, Predictive Modeling, Statistical Modeling, Machine Learning, Deep Learning, R, Algorithms, SAS",Financial Services
Finacplus,Data Scientist - Mortgage Finance,3-8 Yrs,"Business process, Computer science, Back office, Data analytics, data visualization, Data mining, Powerpoint, Macros",Financial services.
DWS Group,Group Audit - Data Scientist,0-1 Yrs,"python, data analytics, confluence, data analysis, natural language processing, scikit-learn, openshift, jupyter notebook",Financial Services
IBM,Data Scientist: AI/ML Engineer,5-7 Yrs,"multithreading, rest, python, data analytics, asynchronous apex, kubernetes, openshift, redhat linux",Technology
IBM,Data Scientist: AI/ML Engineer,3-6 Yrs,"docker, multithreading, python, data analytics, asynchronous apex, kubernetes, openshift, redhat linux",Technology
IBM,Data Scientist: AI/ML Engineer,7-9 Yrs,"multithreading, rest, python, data analytics, asynchronous apex, kubernetes, openshift, redhat linux",Technology
Service Based,Data Scientist,10-15 Yrs,"Data Science, Natural Language Processing, Python, Azure, Machine Learning, AWS, Deep Learning, Machine",Service
Neuron7,Data Scientist,2-5 Yrs,"Computer vision, deep learning, Machine learning, Shell scripting, Transformers, Data analytics, Mathematics, Statistics",Artificial intelligence.
E2E Infoware,Data Scientist / Advanced Analytics - Machine Learning,1-5 Yrs,"advanced analytics, deep learning, Artificial Intelligence, R Programming, Machine learning, Python, Data analytics, Intelligence",Information Technology (IT)
Accolite Software India Pvt Ltd,Data Scientist,3-6 Yrs,"Machine learning, business rules, Data analytics, data visualization, Research, SQL, Python, Rules",Information Technology
Diverse Lynx,Data Scientist,3-5 Yrs,"big data analytics, Machine learning, linear regression, Data structures, Natural language processing, Predictive modeling, Pattern recognition, Data mining","It's impossible to determine the industry of a company named ""Diverse Lynx"" without more information."
Kickstart Placements,Trade DATA Analyst - FMCG MNC - Delhi,5-9 Yrs,"data, Data Management, Data Analysis, Data Extraction, Data Collection, Data Analytics, data analyst, Food Products",N/A
Kickstart Placements,Trade DATA Analyst - FMCG MNC,5-9 Yrs,"data, Data Management, Data Analysis, Data Extraction, Data Collection, Data Analytics, data analyst, Food Products",N/A
Nits Solutions,Data Analyst,2-7 Yrs,"Data Analyst, Python, Data Analysis, Data Analytics, SQL, Analysis, Data, Analytics",Information Technology (IT)
Cybernetic Management Professionals,"Data Analyst,  Greater Noida mail at devendra@cmp.co.in",3-5 Yrs,"Power Bi, Azure DataWarehouse, Data Analytics, Data warehousing, Analytics, Email, Data, Microsoft Azure",N/A
Accion Labs,Data Scientist,5-10 Yrs,"Product Development, Time Series, Machine Learning, Statistics, Python, Data Science, MLOps, Demand Forecasting",Technology
Hydroscope Technology Pvt Ltd,NLP Data Scientist,3-8 Yrs,"NLP, Data Scientist, Speech-to-Text, Machine Learning, Python, Data Science, Text-to-Command Conversion, NLP Libraries",Software Development
Mits Solution,Data Scientist,7-10 Yrs,"Data Science, Classification, Regression, Clustering, Machine Learning, Pytorch, Tensorflow, GIT",IT
Walmart,Data Scientist III,4-9 Yrs,"Computer vision, data science, Coding, Machine learning, SEZ, Information technology, Monitoring, Business operations",Retail
Hydroscope Technology Pvt Ltd,IoT Data Scientist,3-5 Yrs,"Data Science, IoT Data Scientist, Python, Anomaly Detection, Azure, Pandas, Data Analysis, Data Acquisition",Software Development
Evnek,Data Scientist ( Azure ),3-5 Yrs,"Data Science, PySpark, Machine Learning, SQL, Python, Azure, data extraction, data transformation",Real Estate
Evnek,Data Scientist ( Azure ),3-8 Yrs,"Data Science, SQL queries, data extraction, PySpark, ETL, transformation, data solutions, Python",Real Estate
Greensturn,Data Scientist,3-7 Yrs,"Data Science, phython, Artificial Intelligence, Natural Language Processing, Data Analysis, Lambada, AI Data Modelling, SQL",Waste Management
Global US Based MNC,Data Scientist(GenAI) Only from Chennai location & Strong exp in GenAI,3-5 Yrs,"Generative AI, Python, Data Science, Artificial Intelligence, Natural Language Processing, Machine Learning, Deep Learning, Science","It is impossible to determine the industry of ""Global US Based MNC"" without more information. ""MNC"" stands for Multinational Corporation, and ""Global US Based"" tells us the company's origin and scope, but it doesn't tell us what products or services they offer. 

To determine the industry, you would need additional details about the company's business activities."
LTI Mindtree,Data Scientist,3-5 Yrs,"Data Science., R programming, SQL, Science, R, R Program, Program, Data Science",Information Technology (IT)
Williams Lea,Data Scientist,5-10 Yrs,"Data Science, Aws Cloud, Machine Learning, Python, SQL, Tensorflow, Pytorch, R",Business Process Outsourcing (BPO)
NDS Infoserv,Data Scientist - Phd only,0-2 Yrs,"Natural Language Processing, Phd, Deep Learning, Data Science, Science, Process, Languages, Processing",Information Technology
Agilite Global Solutions,Data Scientist,5-10 Yrs,"Data analysis, Usage, GIT, data science, Data modeling, data security, Machine learning, Troubleshooting",IT
Bwise Solutions,Data Scientist,6-11 Yrs,"Data Science, Machine Learning, Statistics, Data Bricks, Analytics, lead, Data, Bricks",IT
Bwise Solutions,Data Scientist,2-5 Yrs,"Machine learning, Statistics, Data Science, Python, Data, Machine, Science",IT
Evalueserve,Data Scientist - Statistical Modeling (Immediate joiners),3-8 Yrs,"Data Science, Statistical Modeling, Python, Predictive Modeling, Logistic Regression, Modeling, Science, Logistics",Knowledge Process Outsourcing (KPO)
Codvo,Data Scientist,2-5 Yrs,"NLP, Machine Learning, Deep Learning, Pytorch, Theano, Pyspark, data science, Azure Databricks",Software
Collegedunia,Data Scientist,1-2 Yrs,"Data Science, NLP, Data Scientist, Artificial Intelligence, Machine Learning, Predictive Analytics, Python, Science",Education
Tiketcom,Data Scientist,3-7 Yrs,"r, data analysis, modeling, data science, predictive modeling, machine learning, programming, communication skills",Travel
TELUS International,Data Scientist,3-5 Yrs,"Data Science, Deep Learning, Python, Tensorflow, Natural Language Processing, Computer Vision, Machine Learning, Scikit-Learn",Technology
Leading Client,Data Scientist,5-9 Yrs,"Data Science, Azure ML, Gen AI, R, cloud services, ML models, machine learning, Python","It's impossible to determine the industry of ""Leading Client"" without more information. This name is too generic and could apply to companies in any sector."
Smart Wealth,Data scientist & Generative AI,5-10 Yrs,"Generative AI, Data science, cloud, Gen AI, Azure, NLP, ML and LLM, AWS",N/A
Techintegrants,Data Scientist,3-5 Yrs,"Computer science, deep learning, data science, Neural networks, Analytical, Machine learning, power bi, Natural language processing",Technology
EXL,"Immediate Requirement For Data Scientist,Noida",4-7 Yrs,"Data Science, AI/ML, Generative AI, Python, SQL, Artificial Intelligence, Requirements, Data",Business Process Outsourcing (BPO)
EY,Data Scientist (Gen AI),6-11 Yrs,"Data Science, Gen AI, NLP, RAG, LLM, Llama, Langchain, Lora",Professional services
Agilite Global Solutions,Data Scientist,5-10 Yrs,"Data analysis, Usage, GIT, data science, Data modeling, data security, Machine learning, Troubleshooting",IT
